name,team,location,height,weight,year,country,url,changshu,xianfa,fenzhong,mingzhonglv,sanfen,faqiu,jingong,fanshou,defen,lanban,zhugong,qiangduan,gaimao,shiwu,fangui
Jalen Harris,猛龙,后卫,1.96,88.5 公斤,0,美国,https://china.nba.com//players/#!/jalen_harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Harris,篮网,后卫-前锋,1.98,99.8 公斤,6,美国,https://china.nba.com//players/#!/joe_harris,331,171,24.3,47.9,42.6,77.9,0.6,2.6,10.4,3.1,1.6,0.5,0.2,1.2,2.1
Tobias Harris,76人,前锋,2.03,102.5 公斤,9,美国,https://china.nba.com//players/#!/tobias_harris,618,498,30.8,47.1,36.5,82.0,1.0,5.1,15.9,6.1,2.0,0.7,0.5,1.4,2.0
Shaquille Harrison,爵士,后卫,2.01,86.2 公斤,3,美国,https://china.nba.com//players/#!/shaquille_harrison,139,23,16.5,44.8,29.3,70.6,0.5,2.2,6.0,2.7,1.7,1.1,0.4,0.7,1.6
Josh Hart,鹈鹕,后卫,1.96,97.5 公斤,3,美国,https://china.nba.com//players/#!/josh_hart,195,61,25.3,43.0,35.3,71.3,0.7,4.1,8.6,4.8,1.4,0.9,0.4,0.9,2.1
Isaiah Hartenstein,掘金,中锋-前锋,2.13,113.4 公斤,2,德国,https://china.nba.com//players/#!/isaiah_hartenstein,51,2,9.5,59.3,18.2,71.4,1.0,1.7,3.1,2.7,0.6,0.3,0.5,0.6,1.9
Udonis Haslem,热火,前锋,2.03,106.6 公斤,17,美国,https://china.nba.com//players/#!/udonis_haslem,858,500,25.1,48.9,8.6,75.5,1.9,4.8,7.6,6.7,0.8,0.5,0.3,0.9,2.4
Jaxson Hayes,鹈鹕,中锋-前锋,2.11,99.8 公斤,1,美国,https://china.nba.com//players/#!/jaxson_hayes,64,14,16.9,67.2,25.0,64.7,1.5,2.5,7.4,4.1,0.9,0.4,0.9,0.8,2.5
Killian Hayes,活塞,后卫,1.96,88.5 公斤,0,美国,https://china.nba.com//players/#!/killian_hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordon Hayward,黄蜂,前锋,2.01,102.1 公斤,10,美国,https://china.nba.com//players/#!/gordon_hayward,641,479,30.8,45.1,36.6,82.3,0.8,3.7,15.3,4.4,3.5,1.0,0.4,2.0,1.8
